                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                0.69699,                0.44602,                0.80786,                0.92551,                0.74693,                0.84553,                0.70552,                0.53006,                0.35364,                0.80898,               0.006469,               0.006469,               0.006469
                    109,                0.69303,                0.44293,                0.80766,                0.92885,                0.74518,                0.84541,                0.70666,                0.52892,                0.35183,                0.80812,               0.006436,               0.006436,               0.006436
                    110,                0.69161,                0.44387,                0.80887,                0.92529,                 0.7483,                0.84621,                 0.7084,                0.52653,                0.35168,                0.80685,               0.006403,               0.006403,               0.006403
                    111,                 0.6893,                0.44138,                0.80704,                0.92538,                0.74699,                 0.8458,                0.70487,                0.52336,                0.35177,                0.80683,                0.00637,                0.00637,                0.00637
                    112,                0.69368,                0.44433,                0.80879,                0.92572,                0.74974,                0.84702,                0.70709,                0.52653,                0.35257,                0.80778,               0.006337,               0.006337,               0.006337
                    113,                0.68498,                0.43945,                0.80843,                0.92998,                0.74785,                0.84863,                 0.7137,                0.51943,                0.34748,                0.80701,               0.006304,               0.006304,               0.006304
                    114,                 0.6835,                0.43766,                0.80801,                0.93345,                 0.7476,                0.84982,                0.71327,                0.51694,                0.34644,                0.80594,               0.006271,               0.006271,               0.006271
                    115,                0.68167,                0.43869,                0.80702,                0.92327,                 0.7569,                0.85067,                0.71413,                0.51686,                0.34679,                 0.8058,               0.006238,               0.006238,               0.006238
                    116,                0.67809,                0.43528,                0.80749,                0.93155,                0.74907,                0.85008,                0.71141,                0.51879,                0.34643,                0.80582,               0.006205,               0.006205,               0.006205
                    117,                 0.6835,                0.43573,                0.80727,                0.93279,                0.74781,                0.84904,                0.71121,                0.51701,                0.34458,                 0.8066,               0.006172,               0.006172,               0.006172
                    118,                0.67843,                0.43296,                0.80636,                0.93328,                0.74661,                0.84867,                0.71161,                0.52009,                 0.3463,                0.80674,               0.006139,               0.006139,               0.006139
