                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                0.74488,                0.50406,                0.81849,                0.89594,                 0.7824,                0.84632,                0.67778,                0.58297,                 0.3946,                0.82192,              0.0047035,              0.0047035,              0.0047035
                    109,                0.74334,                0.50427,                0.81946,                0.90662,                0.77792,                 0.8489,                0.67886,                0.58202,                0.39236,                 0.8212,               0.004654,               0.004654,               0.004654
                    110,                0.74416,                0.50422,                0.81986,                  0.905,                 0.7822,                0.84925,                0.68393,                0.57477,                 0.3894,                0.82042,              0.0046045,              0.0046045,              0.0046045
                    111,                0.74429,                0.50191,                0.81949,                0.90209,                0.78267,                0.84892,                0.68185,                0.57752,                0.38915,                0.82034,               0.004555,               0.004555,               0.004555
                    112,                0.74178,                0.50152,                0.81839,                0.90404,                0.78252,                 0.8491,                0.68241,                0.57713,                0.38813,                0.82016,              0.0045055,              0.0045055,              0.0045055
                    113,                0.74744,                0.50272,                0.81883,                0.90439,                0.78165,                0.84947,                0.68304,                0.57761,                0.38622,                0.81986,               0.004456,               0.004456,               0.004456
                    114,                0.74424,                0.49916,                0.81865,                0.90685,                0.78269,                0.85073,                0.68427,                0.57588,                0.38457,                0.81966,              0.0044065,              0.0044065,              0.0044065
                    115,                0.74421,                0.50271,                0.81821,                0.91322,                0.77872,                0.84914,                0.68507,                0.57133,                0.38392,                 0.8192,               0.004357,               0.004357,               0.004357
                    116,                 0.7329,                  0.497,                 0.8182,                0.91157,                0.78281,                0.85278,                0.68715,                0.57255,                0.38572,                0.81961,              0.0043075,              0.0043075,              0.0043075
                    117,                0.73218,                0.49571,                0.81725,                0.91011,                0.78045,                0.85183,                0.68696,                0.57083,                0.38568,                0.81955,               0.004258,               0.004258,               0.004258
                    118,                0.73388,                0.49839,                0.81793,                0.90888,                0.77702,                0.84888,                0.68355,                0.57593,                0.38631,                0.81986,              0.0042085,              0.0042085,              0.0042085
                    119,                0.71956,                 0.4894,                0.81813,                0.90861,                0.77843,                0.84818,                0.68126,                0.57173,                0.38372,                0.81908,               0.004159,               0.004159,               0.004159
                    120,                0.72433,                0.49284,                0.81679,                0.91135,                0.77713,                0.84963,                0.68446,                0.57452,                0.38488,                0.81935,              0.0041095,              0.0041095,              0.0041095
                    121,                0.72529,                0.49157,                0.81519,                0.90668,                0.78276,                0.85026,                0.68514,                0.56919,                 0.3833,                0.81897,                0.00406,                0.00406,                0.00406
                    122,                0.71907,                0.48932,                0.81695,                0.90987,                0.77899,                0.84937,                0.68491,                0.56675,                0.38335,                0.81881,              0.0040105,              0.0040105,              0.0040105
